,name,revised_name,category,Ambience,Economic Value,Food,Location,Service Quality,Social Value,Overall,address,lat,lon
1,8Eleven Modern Bistro,8Eleven Modern Bistro,American,0.6,0.24,3.96,0.16,2.4,1.2,8.56,"201 S Grant St Ste 100, West Lafayette, IN 47906",40.424964,-86.910632
2,AJ's,AJ's,Burgers,0.72,0.04,0.44,0.16,0.48,0.12,1.96,302 Vine St Ste 150,40.4258686,-86.9080655
3,Akropolis,Akropolis,Others,0.96,0.24,3.08,0.32,1.44,0.96,7,"3311 South St Lafayette, IN 47904",40.4173758,-86.8594588
4,Another Broken Egg Cafe,Another Broken Egg Cafe,Breakfast & Brunch,0.84,0.16,3.96,0.16,2.16,0.84,8.12,516 Northwestern Ave Ste 1500,40.430495,-86.912781
5,Applebee's Grill + Bar,Applebee's Grill + Bar,Bars & Pubs,0.24,0.04,0.44,0.08,0.48,0.6,1.88,2415 Sagamore Pkwy S Tippecanoe Mall,40.3915413,-86.8504015
6,Arni's,Arni's,Pizza,0.84,0.24,3.96,0.04,0.72,0.72,6.52,3111 Builder Dr Ste 18,40.367908,-86.8612813
7,Arni's Restaurant,Arni's Restaurant,Pizza,1.2,0.2,3.08,0.36,0.96,1.2,7,"2200 Elmwood Ave Lafayette, IN 47904",40.4312234,-86.870804
8,Arni's* - Wallace Ave,Arni's* - Wallace Ave,Pizza,0.84,0.08,1.32,0.04,0.24,0.72,3.24,"2323 Wallace Ave Lafayette, IN 47904",40.4114505,-86.8705297
9,Asahi Japanese Steakhouse,Asahi Japanese Steakhouse,Other Asian,0.6,0.4,0.44,0.24,1.2,0.36,3.24,"3412 State Rd 38 E Lafayette, IN 47905",40.3995834,-86.8670503
10,Azzip Pizza,Azzip Pizza,Pizza,0.72,0.24,3.96,0.2,1.2,0.72,7.04,105 Farabee Dr S Ste B,40.4167504,-86.8517958
11,B&N Diner,B&N Diner,Breakfast & Brunch,0.6,0.04,1.76,0.24,0.72,0.12,3.48,"2220 Sagamore Pkwy S Lafayette, IN 47909",40.3945724,-86.8561664
12,Banh Mi Eatery,Banh Mi Eatery,Other Asian,0.84,0.36,4.4,0.28,2.16,0.96,9,"1201 S 4th St Lafayette, IN 47905",40.4050263,-86.8927227
13,Basil Thai & Bubble Tea,Basil Thai & Bubble Tea,Other Asian,0.72,0.04,1.76,0.2,0.96,0.24,3.92,135 S Chauncey Ave Chauncey Hill Mall,40.4230796,-86.9081715
14,Battle Ground Pizza King,Battle Ground Pizza King,Pizza,1.2,0.16,3.52,0.2,2.4,1.08,8.56,"105 North St Battle Ground, IN 47920",40.5099956,-86.8387254
15,Big League Sports Bar & Grill,Big League Sports Bar & Grill,Bars & Pubs,0.48,0.36,2.2,0.16,0.72,0.48,4.4,140 Frontage Rd Ste 1A,40.418472,-86.8186999
16,Big Woods - West Lafayette,Big Woods - West Lafayette,Bars & Pubs,0.48,0.08,3.08,0.12,0.96,0.24,4.96,516 Northwestern Ave Ste 1700,40.4305585,-86.9128793
17,Bistro 501,Bistro 501,Bars & Pubs,1.2,0.16,3.96,0.4,2.4,0.48,8.6,"501 Main St Lafayette, IN 47901",40.4189933,-86.891713
19,Blaze Chinese BBQ,Blaze Chinese BBQ,Chinese,0.24,0.24,2.64,0.28,1.44,0.12,4.96,135 S Chauncey Ave Ste 2F2,40.4230796,-86.9081715
20,Blue Nile Restaurant,Blue Nile Restaurant,Others,0.72,0.08,3.08,0.24,1.92,0.48,6.52,117 Northwestern Ave Ste 2,40.4245871,-86.9084262
21,Bowen Bistro,Bowen Bistro,Others,0.36,0.4,3.52,0.2,2.4,0.12,7,"342 E State St West Lafayette, IN 47906",40.4214571,-86.9017694
22,BRU Burger Bar Lafayette,BRU Burger Bar Lafayette,Burgers,0.72,0.12,2.2,0.32,1.92,0.6,5.88,101 Main St Ste 100,40.4188881,-86.8956797
23,Bruno???s,Bruno's,Pizza,1.08,0.2,3.08,0.28,0.96,0.72,6.32,"212 Brown St West Lafayette, IN 47906",40.4223011,-86.9028462
24,Buck Creek Pizza - Dayton Station,Buck Creek Pizza - Dayton Station,Pizza,0.24,0.16,2.64,0.12,1.2,0.84,5.2,"718B Walnut St Dayton, IN 47941",40.3742767,-86.7690611
25,Budges Drive In,Budges Drive In,"Coffee, Ice Cream & Desserts",1.08,0.32,0.88,0.4,1.2,1.08,4.96,"1102 N 14th St Lafayette, IN 47904",40.4279774,-86.8824208
26,Buffalo Wild Wings,Buffalo Wild Wings,Bars & Pubs,0.24,0.12,0.44,0.08,0.24,0.72,1.84,"2715 South Creasy Ln Lafayette, IN 47905",40.387835,-86.8388582
28,Burger King,Burger King,Burgers,0.12,0.4,0.44,0.04,0.24,0.6,1.84,"2338 Teal Rd Lafayette, IN 47905",40.3958891,-86.8688056
29,Buttery Shelf Eatery,Buttery Shelf Eatery,American,1.2,0.28,3.52,0.4,1.92,0.24,7.56,"927 Main St Lafayette, IN 47901",40.4189479,-86.8860443
30,Cafe Literato,Cafe Literato,"Coffee, Ice Cream & Desserts",1.2,0.16,4.4,0.36,1.68,0.84,8.64,"1920 Northwestern Ave, West Lafayette, IN 47906",40.4472131,-86.9215604
31,Chaparritos,Chaparritos,Mexican,0.72,0.28,4.4,0.16,1.68,1.2,8.44,"1185 Sagamore Pkwy W West Lafayette, IN 47906",40.4528711,-86.9235566
32,Cheddar's Scratch Kitchen,Cheddar's Scratch Kitchen,American,0.36,0.24,1.76,0.28,0.72,0.96,4.32,"91 N 36th St Lafayette, IN 47905",40.4182689,-86.8491302
33,Chick-fil-A,Chick-fil-A,Delis & Fast Food,0.6,0.24,2.2,0.04,1.68,1.08,5.84,"50 N Creasy Ln Lafayette, IN 47905",40.4182063,-86.8395248
34,Chili's,Chili's,American,0.36,0.28,0.88,0.12,0.96,0.84,3.44,"3980 South St Lafayette, IN 47905",40.4185608,-86.8323359
35,China 1 Buffet,China 1 Buffet,Chinese,0.48,0.04,1.76,0.2,0.48,0.6,3.56,"132 Howard Ave West Lafayette, IN 47906",40.4229087,-86.9025134
36,China Dragon,China Dragon,Chinese,0.24,0.28,0.88,0.2,0.72,0.36,2.68,"2060 US Hwy 52 W West Lafayette, IN 47906",40.4674174,-86.953335
37,China King,China King,Chinese,0.12,0.4,0.88,0.24,0.96,0.12,2.72,"2400 Greenbush St Lafayette, IN 47904",40.4334549,-86.8695109
38,Christos  - West Lafayette,Christos  - West Lafayette,American,0.48,0.2,2.64,0.32,1.44,0.48,5.56,"1018 Sagamore Pkwy W West Lafayette, IN 47906",40.4537141,-86.9178807
39,Christos New City Grill,Christos New City Grill,American,0.36,0.08,2.64,0.12,1.44,0.36,5,"3291 Teal Rd Lafayette, IN 47905",40.3951276,-86.8583026
40,City BBQ Lafayette,City BBQ Lafayette,Steak & Barbeques,0.48,0.04,4.4,0.04,2.16,0.12,7.24,"3844 Grace Ln Lafayette, IN 47905",40.4182396,-86.8343954
41,Copper Moon Coffee,Copper Moon Coffee,"Coffee, Ice Cream & Desserts",1.2,0.12,2.2,0.2,1.68,0.96,6.36,4729 Meijer Ct Unit 102,40.4165586,-86.8156402
42,Copper Moon Hi Vine Cafe,Copper Moon Hi Vine Cafe,"Coffee, Ice Cream & Desserts",1.2,0.2,3.08,0.08,2.4,0.6,7.56,302 Vine St Ste 110,40.4258858,-86.9078052
43,CoreLife Eatery,CoreLife Eatery,Others,0.96,0.2,3.96,0.16,2.16,0.72,8.16,105 Farabee Dr S Ste 100,40.416821,-86.8517988
44,Country Cafe,Country Cafe,Breakfast & Brunch,0.6,0.08,3.52,0.2,1.68,0.6,6.68,"4254 State Road 26 E Lafayette, IN 47905",40.4186376,-86.825466
45,Culver's,Culver's,Burgers,0.36,0.32,0.88,0.28,0.48,0.36,2.68,"340 N Creasy Ln Lafayette, IN 47905",40.4209686,-86.8401913
46,D&R BBQ & Catering,D&R BBQ & Catering,Steak & Barbeques,0.84,0.32,4.4,0.28,2.4,0.96,9.2,"135 N Creasy Ln Lafayette, IN 47905",40.4194418,-86.8383978
47,D&R Market,D&R Market,Steak & Barbeques,0.84,0.12,2.64,0.32,2.16,0.96,7.04,"105 N Creasy Ln Lafayette, IN 47905",40.4190536,-86.8377799
48,DAKSHIN,DAKSHIN,Other Asian,0.72,0.16,4.4,0.36,1.68,1.2,8.52,"138 S River Rd West Lafayette, IN 47906",40.421018,-86.904398
49,Damso Korean Restaurant,Damso Korean Restaurant,Other Asian,0.84,0.4,3.96,0.08,0.48,1.2,6.96,111 S River Rd Ste D,40.4217153,-86.9048701
50,DENJU,DENJU,Other Asian,0.12,0.24,4.4,0.08,1.92,0.12,6.88,"350 E State St A West Lafayette, IN 47906",40.4207612,-86.9006928
51,Digby's Pub and Patio,Digby's Pub and Patio,Bars & Pubs,0.72,0.12,1.32,0.28,1.44,0.84,4.72,"133 N 4th St Lafayette, IN 47901",40.4188717,-86.8928402
52,Dog N Suds,Dog N Suds,Delis & Fast Food,0.96,0.16,1.32,0.36,0.72,0.96,4.48,"601 Sagamore Pkwy S Lafayette, IN 47905",40.411333,-86.8573619
53,DT Kirby's,DT Kirby's,Burgers,0.96,0.24,0.88,0.24,1.2,1.08,4.6,"644 Main St Lafayette, IN 47901",40.4192727,-86.8892563
54,East End Grill,East End Grill,American,0.72,0.24,3.52,0.36,2.4,0.96,8.2,"1016 Main St Lafayette, IN 47901",40.4194062,-86.8853392
55,Eddie Joe's Icehouse,Eddie Joe's Icehouse,Steak & Barbeques,1.08,0.28,3.08,0.16,1.2,0.72,6.52,"4941 Washington St West Point, IN 47992",40.3451188,-87.0425565
56,Egyptian Cafe,Egyptian Cafe,Bars & Pubs,0.6,0.04,1.32,0.12,1.44,0.24,3.76,"130 Northwestern Ave West Lafayette, IN 47906",40.4244804,-86.9077604
57,El Chicano,El Chicano,Mexican,0.96,0.4,0.88,0.12,2.16,0.96,5.48,"6 N Earl Ave Lafayette, IN 47904",40.4179805,-86.8612348
58,El Meson Mexican Restaurant,El Meson Mexican Restaurant,Mexican,1.08,0.32,1.76,0.24,1.92,0.24,5.56,"408 Sagamore Pkwy N Lafayette, IN 47904",40.4209329,-86.8586357
59,El Rodeo,El Rodeo,Mexican,0.96,0.32,2.2,0.16,1.44,0.48,5.56,"140 Frontage Rd Lafayette, IN 47905",40.418472,-86.8186999
60,El Torito,El Torito,Mexican,1.08,0.08,3.96,0.2,2.4,0.6,8.32,"404 N Earl Ave Lafayette, IN 47904",40.4210413,-86.8609712
61,EMT Foodtruck,EMT Foodtruck,Burgers,1.08,0.36,4.4,0.4,2.4,1.08,9.72,"3065, N Salisbury St, West Lafayette, IN 47906",40.4628562,-86.9160842
62,En Lai Chinese Kitchen - 2408 Teal Rd ,En Lai Chinese Kitchen - 2408 Teal Rd ,Chinese,0.24,0.04,1.32,0.24,0.48,0.48,2.8,"2408 Teal Rd Lafayette, IN 47905",40.3966201,-86.8693542
63,En Lai Chinese Kitchen - 210 S Creasy Ln Ste 2130,En Lai Chinese Kitchen - 210 S Creasy Ln Ste 2130,Chinese,0.6,0.36,0.88,0.24,0.24,0.36,2.68,210 S Creasy Ln Ste 2130,40.4135336,-86.8395444
64,End Zone Sports Bar & Grill,End Zone Sports Bar & Grill,Bars & Pubs,0.24,0.2,0.88,0.08,1.44,0.84,3.68,"2408 E 350th S Lafayette, IN 47909",40.3672416,-86.8586407
65,Escape Velocity Brewing,Escape Velocity Brewing,Bars & Pubs,0.84,0.32,3.08,0.16,2.4,1.2,8,405 Sagamore Pkwy S Ste A2,40.4137153,-86.8572387
66,Eye Opener Cafe,Eye Opener Cafe,"Coffee, Ice Cream & Desserts",0.24,0.04,2.64,0.4,1.68,1.08,6.08,"11 N Earl Ave Lafayette, IN 47904",40.4180938,-86.8603042
67,Famous Frank's,Famous Frank's,Delis & Fast Food,1.08,0.04,4.4,0.08,1.92,0.96,8.48,"Pierce St West Lafayette, IN 47906",40.4220935,-86.9091875
68,Fazoli's,Fazoli's,Others,0.12,0.12,1.76,0.2,0.24,0.24,2.68,"3457 State Rd. 26 East Lafayette, IN 47905",40.3995834,-86.8670503
69,Fiesta Mexican Grill,Fiesta Mexican Grill,Mexican,0.96,0.36,2.2,0.2,2.16,1.08,6.96,102 N Chauncey Ave Ste C,40.4243657,-86.9068162
70,Firehouse Subs,Firehouse Subs,Delis & Fast Food,0.6,0.08,0.88,0.16,0.48,0.12,2.32,"170 S Creasy Ln Ste 1720, Lafayette, IN 47905",40.4144075,-86.8395052
71,Five Guys,Five Guys,Burgers,1.08,0.36,0.44,0.36,0.24,1.2,3.68,"210 S Creasy Ln Lafayette, IN 47905",40.4134336,-86.8395248
72,Folie,Folie,American,0.6,0.24,4.4,0.4,2.16,0.48,8.28,"526 Main St Lafayette, IN 47901",40.4193888,-86.8909896
74,Freddy's Frozen Custard & Steakburgers,Freddy's Frozen Custard & Steakburgers,Burgers,0.24,0.32,0.44,0.04,1.92,0.12,3.08,"2850 US Hwy 52 W West Lafayette, IN 47906",40.46798,-86.959142
75,Fuel - 106 S 16th St ,Fuel - 106 S 16th St ,"Coffee, Ice Cream & Desserts",1.2,0.04,3.08,0.16,2.16,0.96,7.6,"106 S 16th St Lafayette, IN 47905",40.4162108,-86.8789145
76,Fuel - 460 Northwestern Ave ,Fuel - 460 Northwestern Ave ,"Coffee, Ice Cream & Desserts",1.2,0.08,3.08,0.32,2.16,1.08,7.92,"460 Northwestern Ave West Lafayette, IN 47906",40.429008,-86.911086
77,Gaza Korean Grill,Gaza Korean Grill,Other Asian,0.36,0.04,2.64,0.24,0.48,0.84,4.6,"3457 Bethel Dr West Lafayette, IN 47906",40.4668011,-86.9543904
78,Golden Corral Buffet & Grill,Golden Corral Buffet & Grill,American,0.12,0.36,1.32,0.04,0.48,0.36,2.68,"79 Shenandoah Drive Lafayette, IN 47905",40.4195962,-86.8452882
79,Green Leaf Vietnamese Cuisine,Green Leaf Vietnamese Cuisine,Other Asian,0.96,0.04,0.88,0.32,0.72,0.24,3.16,"111 S River Rd West Lafayette, IN 47906",40.4217237,-86.9049061
80,Greyhouse Coffee - West Lafayette,Greyhouse Coffee - West Lafayette,"Coffee, Ice Cream & Desserts",1.2,0.2,2.64,0.24,1.68,1.2,7.16,"100 Northwestern Ave, West Lafayette, IN 47906",40.4242014,-86.9077624
81,Grilled Chicken and Rice,Grilled Chicken and Rice,Others,0.24,0.36,1.76,0.04,2.4,0.36,5.16,"1400 W State St Suite M, West Lafayette, IN 47906",40.4260518,-86.9294497
82,Hala's Grill,Hala's Grill,Others,0.48,0.4,1.32,0.36,2.4,1.2,6.16,135 S Chauncey Ave Ste 2G,40.4230796,-86.9081715
83,Happy China,Happy China,Chinese,0.24,0.04,1.32,0.12,0.72,0.12,2.56,"219 E State St West Lafayette, IN 47906",40.4214012,-86.9037206
84,Hardee's,Hardee's,Burgers,0.12,0.32,2.2,0.36,0.24,0.48,3.72,"710 Sagamore Pkwy N Lafayette, IN 47904",40.4241778,-86.8587729
85,Hawaiian Hut,Hawaiian Hut,Others,0.84,0.36,4.4,0.16,2.16,0.48,8.4,"2415 Sagamore Pkwy S Lafayette, IN 47905",40.3915437,-86.850402
86,Heisei Japanese Restaurant,Heisei Japanese Restaurant,Other Asian,1.2,0.4,2.2,0.4,0.96,0.96,6.12,"907 Sagamore Pkwy W West Lafayette, IN 47906",40.451935,-86.9197033
87,Hooters,Hooters,Bars & Pubs,0.12,0.04,0.44,0.08,0.24,0.84,1.76,"2327 Sagamore Pkwy S Lafayette, IN 47905",40.3935805,-86.8540694
88,HotBox Pizza,HotBox Pizza,Pizza,0.48,0.08,2.64,0.12,0.72,0.48,4.52,302 Vine St Ste 120,40.4259754,-86.9078974
89,HuHot Mongolian Grill,HuHot Mongolian Grill,Other Asian,0.36,0.12,0.88,0.2,1.92,0.84,4.32,100 S Creasy Ln - Lafayette Pavilions Ste 1240,40.41548,-86.841642
90,Hunters Pub,Hunters Pub,Bars & Pubs,0.72,0.04,1.76,0.28,1.44,0.96,5.2,"1092 Sagamore Pkwy W West Lafayette, IN 47906",40.4537357,-86.9201903
91,IHOP,IHOP,Breakfast & Brunch,0.12,0.24,1.32,0.04,0.48,0.24,2.44,"4215 South St Lafayette, IN 47905",40.4170037,-86.8262045
92,Jane's Gourmet Deli & Catering,Jane's Gourmet Deli & Catering,Delis & Fast Food,1.2,0.16,4.4,0.4,1.44,1.08,8.68,"524 N 4th St Lafayette, IN 47901",40.4222517,-86.8935648
93,Joe's Pancake House,Joe's Pancake House,Breakfast & Brunch,0.48,0.24,3.52,0.24,2.16,0.36,7,"700 Sagamore Pkwy N Lafayette, IN 47904",40.4237801,-86.8587729
94,Katana Sushi & Ramen,Katana Sushi & Ramen,Other Asian,0.96,0.4,3.96,0.28,1.2,0.24,7.04,"1048 C Sagamore Pkwy W West Lafayette, IN 47906",40.4541873,-86.9184875
95,Khana Khazana Indian Grill,Khana Khazana Indian Grill,Other Asian,0.36,0.32,3.08,0.32,0.72,1.08,5.88,"108 Northwestern Ave West Lafayette, IN 47906",40.424298,-86.907839
96,Kimchi Korean Restaurant,Kimchi Korean Restaurant,Other Asian,0.96,0.24,4.4,0.4,2.16,0.72,8.88,"1904 Sagamore Pkwy W West Lafayette, IN 47906",40.4682121,-86.9423214
97,Kitami Yakiniku & Sushi,Kitami Yakiniku & Sushi,Other Asian,0.48,0.4,1.76,0.4,0.72,0.72,4.48,"731 Main St Lafayette, IN 47901",40.4189188,-86.8879246
98,La Bamba,La Bamba,Mexican,0.36,0.16,0.44,0.16,0.48,0.12,1.72,"2120 Sagamore Pkwy S Lafayette, IN 47905",40.3965281,-86.8571267
99,La Fiesta Burrito,La Fiesta Burrito,Mexican,0.84,0.32,3.52,0.08,1.92,1.08,7.76,"2122 Veterans Memorial Pkwy S Lafayette, IN 47909",40.3676633,-86.8699028
100,La Hacienda El Sol,La Hacienda El Sol,Mexican,0.24,0.28,1.76,0.2,0.96,0.6,4.04,"140 Howard Ave West Lafayette, IN 47906",40.4233676,-86.9025721
101,La Scala Italian Restaurant,La Scala Italian Restaurant,Others,0.84,0.2,3.52,0.4,1.92,0.6,7.48,"312 Main St Lafayette, IN 47901",40.4193794,-86.893976
102,Lafayette Brewing Co,Lafayette Brewing Co,Bars & Pubs,0.84,0.08,0.44,0.4,0.96,0.6,3.32,"622 Main St Lafayette, IN 47901",40.419412,-86.8900006
103,Las Brazas Taqueria,Las Brazas Taqueria,Mexican,0.96,0.2,3.08,0.24,2.4,0.36,7.24,"2601 Teal Rd Lafayette, IN 47905",40.3951298,-86.8664739
104,Legacy Pub,Legacy Pub,Bars & Pubs,0.36,0.36,2.2,0.12,1.44,1.2,5.68,"3230 Daugherty Dr Lafayette, IN 47909",40.3696822,-86.8577146
105,Lindo Mexico,Lindo Mexico,Mexican,0.84,0.08,0.88,0.16,1.92,0.48,4.36,405 Sagamore Pkwy S Ste A1,40.4137339,-86.857525
106,Linnwood Tavern,Linnwood Tavern,American,0.24,0.28,1.76,0.28,0.72,1.2,4.48,"1244 N 14th St Lafayette, IN 47904",40.4301279,-86.8825383
